Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
38000	-708.9885	-692.5568	-16.4317	0.2873267	0.997533	0.000179715	0.00228721	0.00899001
38200	-709.7978	-693.2531	-16.54473	0.2833272	0.998597	0.00103988	0.000363286	0.02175197
38400	-708.3637	-690.252	-18.11167	0.289425	0.995988	0.00312563	0.000885877	0.1390941
38600	-707.8463	-690.5839	-17.26237	0.2921765	0.994008	0.00250367	0.00348814	0.07376617
38800	-712.2247	-693.9906	-18.2341	0.2863792	0.988174	0.00507818	0.00674815	0.1545898
39000	-713.0311	-696.1951	-16.83604	0.3079638	0.995574	0.000571162	0.00385502	0.02532264
39200	-707.5025	-689.6548	-17.84772	0.2860604	0.995667	0.000295223	0.00403754	0.1235593
39400	-711.0683	-693.7669	-17.30142	0.3010568	0.998243	0.000902195	0.000854713	0.06713596
39600	-711.8316	-692.36	-19.4716	0.3062146	0.996188	0.00130062	0.00251165	0.2363003
39800	-709.6692	-692.4908	-17.17835	0.3278318	0.998837	6.60427e-05	0.00109651	0.03648493
40000	-709.2512	-691.2696	-17.98164	0.308189	0.998716	0.00074488	0.000539235	0.1196843
40200	-707.1624	-688.3699	-18.79244	0.3005539	0.996924	0.000656549	0.00241919	0.1824107
40400	-709.0422	-691.5282	-17.51402	0.319861	0.99286	0.00110077	0.00603875	0.07280475
40600	-712.2235	-695.4126	-16.81092	0.3212056	0.998169	0.000166155	0.00166524	0.01239039
40800	-708.9389	-692.641	-16.29799	0.2784771	0.994893	0.00479093	0.000316185	0.005386712
41000	-710.4963	-693.6845	-16.8118	0.2746427	0.997353	9.72683e-05	0.0025498	0.05010422
41200	-712.3283	-695.5947	-16.73359	0.3277966	0.990548	0.00184359	0.00760854	0.0006961364
41400	-707.3084	-690.8837	-16.42466	0.2932343	0.994741	0.00301425	0.00224497	0.003794467
41600	-708.7492	-691.9488	-16.80041	0.2918667	0.997483	0.00183766	0.000678929	0.03514832
41800	-714.0578	-695.3204	-18.73747	0.3015624	0.997027	0.0010213	0.00195218	0.1844007
42000	-708.4241	-691.6493	-16.77481	0.3191598	0.990084	0.00891878	0.0009976	0.01072807
42200	-714.6271	-697.6682	-16.95882	0.3314752	0.992073	0.00679393	0.00113288	0.0164914
42400	-707.1387	-689.9552	-17.18347	0.328833	0.997129	0.00209836	0.000772924	0.0357989
42600	-712.3119	-695.4888	-16.82314	0.3137712	0.99419	0.00432957	0.00148036	0.02015052
42800	-719.5484	-702.6689	-16.87952	0.3037327	0.988744	0.0109999	0.000256398	0.03350846
43000	-716.4631	-699.4352	-17.02791	0.2993975	0.993607	0.00157971	0.00481309	0.05042081
43200	-716.2327	-699.4193	-16.81331	0.3062379	0.978192	0.0214951	0.000313335	0.02410258
43400	-712.5151	-694.5056	-18.0095	0.2998306	0.987185	0.00226309	0.0105524	0.1277483
43600	-708.6336	-692.078	-16.55562	0.2798721	0.99401	0.00345348	0.00253665	0.02511084
43800	-721.2491	-703.6321	-17.61691	0.2711148	0.986048	0.00391907	0.0100333	0.1176802
44000	-710.3707	-693.3425	-17.02823	0.3044726	0.995389	0.000325727	0.00428529	0.04392487
44200	-715.9487	-696.7092	-19.2395	0.338449	0.981282	0.00477899	0.0139389	0.1918954
44400	-711.7264	-694.1497	-17.57667	0.319814	0.992867	0.00533735	0.00179604	0.07506118
44600	-723.9972	-706.8313	-17.16592	0.3043337	0.997057	0.00225517	0.000688039	0.05640126
