Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
32400	-651.9296	-634.7568	-17.17283	0.2990361	0.989904	0.00135236	0.00874352	0.06017246
32600	-653.6827	-635.6689	-18.01376	0.3526559	0.99766	0.000384084	0.00195622	0.08765067
32800	-657.5104	-640.0348	-17.47559	0.3157338	0.987289	0.00940895	0.00330205	0.07475101
33000	-653.8054	-635.4581	-18.34729	0.3424961	0.993469	0.00381141	0.00271965	0.1198844
33200	-651.6447	-633.3525	-18.29225	0.3267934	0.998785	0.00073097	0.000484367	0.1260276
33400	-652.673	-635.8094	-16.86358	0.304848	0.997425	0.00159108	0.00098435	0.03122336
33600	-656.8631	-638.9511	-17.91198	0.2641363	0.997796	0.0014311	0.000772904	0.1458724
33800	-648.0222	-631.3449	-16.67735	0.2879084	0.999887	5.11192e-05	6.18481e-05	0.02806416
34000	-656.5007	-638.6578	-17.84297	0.3165063	0.972772	0.00968398	0.0175437	0.09972536
34200	-644.4152	-627.7891	-16.62617	0.3017453	0.998723	0.00101038	0.000266157	0.01325372
34400	-652.0415	-634.7359	-17.30559	0.3444734	0.997716	0.00180925	0.00047441	0.03562936
34600	-656.2876	-638.8615	-17.42612	0.3430121	0.997914	0.00112682	0.000959314	0.04742255
34800	-652.1629	-635.6896	-16.47328	0.2771937	0.992166	0.00131696	0.00651658	0.02071893
35000	-651.218	-634.5724	-16.64565	0.2960592	0.993575	0.0023441	0.00408059	0.01966676
35200	-650.6764	-633.7598	-16.91667	0.3316068	0.998799	0.00100508	0.00019596	0.01244709
35400	-650.59	-632.2483	-18.34174	0.3147831	0.997405	0.00218565	0.000409714	0.1376782
35600	-650.2435	-632.3623	-17.88113	0.2949935	0.998321	0.00161056	6.82322e-05	0.1201091
35800	-655.7472	-634.6491	-21.09818	0.3273108	0.99451	0.00134695	0.0041427	0.3483477
36000	-648.0471	-631.0233	-17.02381	0.3450062	0.998044	0.00193281	2.34983e-05	0.01037701
36200	-647.4216	-630.2071	-17.21452	0.3101889	0.993539	0.00611547	0.00034556	0.05318269
36400	-651.0615	-634.0234	-17.03807	0.3457842	0.998082	0.00152684	0.000391197	0.0106741
36600	-651.6825	-634.9278	-16.75466	0.299075	0.992673	0.00713715	0.000189941	0.02475752
36800	-655.7965	-637.8021	-17.99433	0.3380963	0.99828	0.000494752	0.00122537	0.09360325
37000	-645.9422	-629.2428	-16.69935	0.3240922	0.998834	0.000842844	0.00032306	0.000943815
37200	-648.2538	-631.4007	-16.85309	0.2958471	0.993435	0.00350937	0.00305613	0.03603606
37400	-645.087	-627.2172	-17.86984	0.3288441	0.997669	0.00152636	0.000804194	0.09157276
37600	-657.6834	-637.2818	-20.40157	0.327931	0.990337	0.0062897	0.00337289	0.301157
37800	-655.28	-635.7457	-19.53431	0.3228376	0.99132	0.00292116	0.00575869	0.2301792
38000	-651.0825	-633.8937	-17.1888	0.3142812	0.998682	0.000539678	0.000778745	0.04786184
38200	-649.8282	-633.5235	-16.30467	0.2658778	0.989641	0.00806619	0.00229245	0.01606571
38400	-656.3261	-638.6795	-17.64664	0.3100855	0.992304	0.00168159	0.00601479	0.08746485
38600	-657.4093	-639.5788	-17.83058	0.3111281	0.992029	0.000444728	0.0075267	0.104544
38800	-648.3293	-630.8691	-17.46015	0.3433587	0.996894	0.00142142	0.00168447	0.04759059
39000	-648.8654	-631.3855	-17.47989	0.3207289	0.985301	0.000798283	0.0139005	0.06759035
39200	-653.0829	-635.0367	-18.04616	0.2980433	0.994489	0.0051657	0.000344906	0.134862
39400	-650.4204	-633.085	-17.33543	0.3200836	0.986489	0.000602567	0.0129089	0.05648915
39600	-654.9209	-636.3508	-18.57008	0.3465278	0.997209	0.00209696	0.00069381	0.130744
39800	-652.2109	-634.6456	-17.56527	0.3102038	0.991823	0.00641928	0.00175797	0.08357891
