Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
19400	-302.7881	-269.9415	-32.84656	3.338018	0.0924733	0.289866	0.61766	0.241862	0.295306	0.231416	0.231416	0.2547423
19600	-304.2337	-264.5851	-39.64864	4.222295	0.116456	0.22047	0.663074	0.345644	0.336158	0.159099	0.159099	0.05421988
19800	-302.1209	-282.7273	-19.3936	2.101369	0.145659	0.411912	0.442429	0.261238	0.306037	0.216363	0.216363	0.1467664
20000	-303.0924	-277.0083	-26.08409	2.551887	0.125067	0.293575	0.581358	0.298745	0.322614	0.189321	0.189321	0.3555194
20200	-299.6845	-268.1441	-31.54032	3.457544	0.110707	0.273772	0.61552	0.287941	0.318385	0.196837	0.196837	0.006471778
20400	-301.021	-269.8828	-31.13822	3.407431	0.155775	0.286966	0.557259	0.351842	0.33739	0.155384	0.155384	0.01647148
20600	-299.7429	-273.4707	-26.27221	2.812834	0.113817	0.280454	0.605729	0.288677	0.318687	0.196318	0.196318	0.1230265
20800	-301.3112	-267.7145	-33.5967	3.522054	0.119888	0.37355	0.506561	0.242965	0.295958	0.230538	0.230538	0.1499336
21000	-300.8822	-270.0032	-30.87907	3.394882	0.114474	0.223377	0.662149	0.33883	0.334657	0.163256	0.163256	0.003073689
21200	-307.5101	-277.0044	-30.50577	3.315593	0.178573	0.514375	0.307052	0.2577	0.304191	0.219054	0.219054	0.04279675
21400	-298.6604	-273.1306	-25.52976	2.792351	0.136275	0.38096	0.482764	0.263469	0.307175	0.214678	0.214678	0.07017997
21600	-305.8782	-277.8994	-27.97878	2.522825	0.11025	0.298461	0.591289	0.26975	0.310273	0.209989	0.209989	0.5788405
21800	-301.1778	-272.2882	-28.88954	3.049957	0.107378	0.336153	0.556469	0.242099	0.295447	0.231227	0.231227	0.1467748
22000	-298.1935	-270.5507	-27.64284	3.069627	0.112887	0.323934	0.563179	0.258428	0.304575	0.218498	0.218498	0.004734077
22200	-300.2847	-270.4715	-29.81317	3.15815	0.122012	0.230368	0.64762	0.346252	0.336284	0.158732	0.158732	0.1307636
22400	-300.3587	-279.006	-21.35271	2.407843	0.158414	0.338212	0.503374	0.31898	0.329394	0.175813	0.175813	0.03729534
22600	-299.3086	-272.3126	-26.99593	2.946702	0.143127	0.439611	0.417263	0.245611	0.297503	0.228443	0.228443	0.06333299
22800	-300.6136	-272.1172	-28.49643	3.149979	0.134982	0.460233	0.404785	0.226779	0.285871	0.243675	0.243675	0.009708343
23000	-298.3821	-274.9492	-23.43286	2.638367	0.156762	0.347843	0.495395	0.310662	0.326783	0.181277	0.181277	0.01463105
23200	-299.397	-272.2346	-27.16243	2.941769	0.13802	0.332419	0.529561	0.293386	0.320571	0.193022	0.193022	0.0863079
23400	-300.196	-270.892	-29.30401	3.199229	0.146207	0.427002	0.42679	0.255068	0.302786	0.221073	0.221073	0.04198344
23600	-299.1111	-274.7206	-24.39057	2.717751	0.148692	0.291839	0.559469	0.337529	0.334353	0.164059	0.164059	0.03146029
23800	-298.937	-276.1632	-22.77383	2.564838	0.136911	0.385226	0.477863	0.262212	0.306536	0.215626	0.215626	0.02210198
24000	-305.3412	-280.1216	-25.21959	2.799956	0.173378	0.493568	0.333054	0.259958	0.305375	0.217333	0.217333	0.03329827
24200	-301.025	-276.3948	-24.63016	2.753928	0.18122	0.345217	0.473562	0.344239	0.335861	0.15995	0.15995	0.01853876
24400	-301.3975	-273.6825	-27.71492	2.920576	0.166188	0.293437	0.540375	0.361573	0.339075	0.149676	0.149676	0.1607945
24600	-304.1624	-280.0945	-24.06785	2.537486	0.19851	0.36109	0.4404	0.354736	0.337923	0.153671	0.153671	0.1788469
24800	-301.3158	-280.645	-20.6708	2.299074	0.147818	0.348984	0.503198	0.297539	0.322163	0.190149	0.190149	0.07767437
25000	-299.4049	-267.3555	-32.04944	3.494565	0.101047	0.27234	0.626612	0.270623	0.310692	0.209342	0.209342	0.02049011
25200	-300.3802	-275.3073	-25.07299	2.760024	0.143296	0.470353	0.386352	0.233515	0.290204	0.238141	0.238141	0.0576304
25400	-300.122	-278.6383	-21.48368	2.414135	0.143573	0.441973	0.414454	0.245195	0.297262	0.228772	0.228772	0.04385252
25600	-300.156	-266.7914	-33.36462	3.527441	0.136722	0.343377	0.519901	0.284778	0.317066	0.199078	0.199078	0.1206097
25800	-299.1845	-267.8778	-31.30669	3.307349	0.128089	0.335498	0.536413	0.2763	0.313341	0.205179	0.205179	0.1329895
26000	-299.8781	-270.9117	-28.96644	3.070467	0.135071	0.300316	0.564613	0.310233	0.326642	0.181563	0.181563	0.1323245
26200	-301.4645	-277.6995	-23.76503	2.58765	0.122551	0.465325	0.412124	0.208464	0.273085	0.259226	0.259226	0.09821419
26400	-300.4678	-267.9334	-32.53445	3.55413	0.149075	0.265701	0.585224	0.359411	0.338727	0.150931	0.150931	0.009287112
26600	-299.1016	-273.1624	-25.93926	2.842984	0.148406	0.398756	0.452838	0.271229	0.31098	0.208895	0.208895	0.06089936
26800	-301.2078	-272.2977	-28.91009	3.011977	0.11669	0.320613	0.562697	0.266841	0.308858	0.21215	0.21215	0.1848867
27000	-298.4441	-274.71	-23.73408	2.651188	0.131431	0.408284	0.460286	0.243519	0.296284	0.230098	0.230098	0.03237343
27200	-299.5051	-267.6247	-31.88043	3.468529	0.108244	0.338734	0.553023	0.242168	0.295488	0.231172	0.231172	0.02979253
27400	-298.7027	-269.5443	-29.15845	3.182999	0.133901	0.293394	0.572704	0.313369	0.32766	0.179485	0.179485	0.0435914
27600	-301.0347	-271.0288	-30.00592	3.209352	0.172566	0.357729	0.469705	0.325415	0.331247	0.171669	0.171669	0.1011
27800	-298.6244	-275.9739	-22.65049	2.542715	0.157266	0.389498	0.453237	0.28763	0.318258	0.197056	0.197056	0.03202121
28000	-298.2866	-275.6019	-22.68467	2.574583	0.142989	0.304524	0.552487	0.31952	0.329555	0.175463	0.175463	0.003940221
28200	-299.7488	-267.6397	-32.10908	3.355696	0.123864	0.274399	0.601737	0.31101	0.326897	0.181046	0.181046	0.1635435
28400	-299.2371	-270.5848	-28.65229	3.111233	0.154332	0.314127	0.531541	0.329446	0.332336	0.169109	0.169109	0.06299578
28600	-302.8743	-274.089	-28.78523	2.951354	0.138348	0.419055	0.442596	0.248201	0.298986	0.226406	0.226406	0.2279255
28800	-299.6559	-268.2666	-31.38931	3.353217	0.14378	0.359632	0.496589	0.285611	0.317417	0.198486	0.198486	0.09755281
29000	-301.072	-277.9366	-23.13539	2.614944	0.171094	0.54974	0.279166	0.237355	0.292588	0.235028	0.235028	0.008614478
29200	-299.241	-275.4121	-23.8289	2.624841	0.136315	0.302306	0.561379	0.310781	0.326822	0.181199	0.181199	0.06611092
29400	-298.4938	-272.9274	-25.5664	2.835306	0.15651	0.378658	0.464833	0.29245	0.320203	0.193674	0.193674	0.03111511
29600	-305.6185	-286.4719	-19.14655	2.107068	0.203695	0.464602	0.331703	0.304797	0.324795	0.185204	0.185204	0.1110276
29800	-299.6313	-267.7276	-31.90374	3.413662	0.10729	0.285988	0.606722	0.27281	0.311727	0.207732	0.207732	0.08554364
30000	-299.6262	-269.9727	-29.65352	3.109484	0.128313	0.290058	0.581629	0.306697	0.325453	0.183925	0.183925	0.1672633
30200	-299.8137	-271.7085	-28.10523	3.116017	0.132213	0.281894	0.585893	0.319272	0.329481	0.175624	0.175624	0.004617587
30400	-299.3825	-273.8295	-25.55294	2.779234	0.139974	0.377202	0.482824	0.27065	0.310705	0.209322	0.209322	0.08657674
30600	-302.3348	-276.6856	-25.64921	2.762638	0.126635	0.41975	0.453616	0.231768	0.289099	0.239566	0.239566	0.1112059
30800	-302.3953	-274.9607	-27.43458	2.915423	0.139776	0.52275	0.337474	0.210975	0.274926	0.257049	0.257049	0.1382582
31000	-302.1329	-278.2588	-23.87411	2.666389	0.134019	0.313355	0.552626	0.299568	0.322918	0.188757	0.188757	0.03141413
31200	-299.1294	-272.9029	-26.22653	2.828289	0.132953	0.33276	0.534287	0.285483	0.317363	0.198577	0.198577	0.10517
31400	-300.5731	-272.7219	-27.85122	2.986993	0.112442	0.321893	0.565664	0.258883	0.304814	0.218151	0.218151	0.1057981
31600	-298.5273	-272.6264	-25.9009	2.820489	0.153113	0.354623	0.492263	0.301561	0.323645	0.187397	0.187397	0.07935192
