Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
30600	-291.5341	-280.7917	-10.74245	1.480112	0.0596927	0.0697964	0.764875	0.105636	0.01333273
30800	-290.9578	-281.0219	-9.935916	1.360779	0.015389	0.195739	0.025501	0.763371	0.05033311
31000	-302.0432	-286.6338	-15.40937	1.379619	0.152939	0.211371	0.252951	0.382738	0.5585356
31200	-289.8064	-279.2745	-10.5319	1.302431	0.00458668	0.0226145	0.137812	0.834987	0.164016
31400	-290.1368	-278.389	-11.74779	1.565091	0.0194423	0.0529907	0.423778	0.503789	0.02812458
31600	-291.4431	-283.1308	-8.312298	1.163334	0.0240906	0.0780944	0.884831	0.0129843	0.08433739
31800	-288.7658	-278.5976	-10.16817	1.391603	0.0226086	0.0163915	0.237164	0.723836	0.0432121
32000	-288.8122	-279.8076	-9.004564	1.238199	0.00219013	0.00873947	0.171647	0.817423	0.07834549
32200	-292.4192	-279.603	-12.81618	1.671293	0.0335814	0.01612	0.0683771	0.881921	0.02914537
32400	-293.0012	-283.9116	-9.089645	1.167294	0.039284	0.0789295	0.0189909	0.862796	0.1562779
32600	-289.3811	-280.1846	-9.196507	1.263049	0.0106476	0.0330147	0.407014	0.549324	0.0721244
32800	-289.5894	-278.5102	-11.07916	1.523113	0.0037941	0.0432809	0.549307	0.403618	0.004569692
33000	-291.0107	-282.9096	-8.101002	1.197472	0.0278299	0.0194468	0.0925266	0.860197	0.03073647
33200	-289.9844	-278.5105	-11.47393	1.537563	0.0284795	0.0116295	0.474512	0.485379	0.02897321
33400	-290.7358	-281.6418	-9.094072	1.270734	0.0593887	0.0525918	0.00326986	0.88475	0.05629119
33600	-293.2767	-280.8166	-12.46011	1.643058	0.0492629	0.030606	0.390975	0.529156	0.02245031
33800	-290.2465	-281.4768	-8.769708	1.277015	0.0223511	0.0416573	0.287151	0.64884	0.01887498
34000	-293.5241	-280.3474	-13.17674	1.590978	0.0408355	0.0202928	0.375888	0.562984	0.1424995
34200	-289.9474	-280.3058	-9.641558	1.370328	0.0262283	0.0615791	0.359066	0.553127	0.01292321
34400	-290.9356	-279.6556	-11.28007	1.443965	0.00438146	0.0364871	0.142992	0.81614	0.1005954
34600	-293.568	-284.8381	-8.729958	1.243815	0.0618303	0.102522	0.171	0.664648	0.04690864
34800	-289.1179	-280.3391	-8.778834	1.260342	0.0240229	0.026966	0.111856	0.837155	0.03598524
35000	-290.2482	-281.3277	-8.920558	1.311714	0.0266457	0.101023	0.401109	0.471223	0.0002925148
