Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
33800	-297.7703	-280.1531	-17.61724	2.055796	0.179303	0.0441458	0.776552	0.01585382
34000	-293.5768	-277.0533	-16.52355	1.868566	0.244949	0.00443578	0.750615	0.09074252
34200	-297.3943	-283.5967	-13.79762	1.444004	0.273517	0.018631	0.707852	0.2393001
34400	-296.388	-284.8797	-11.50833	1.379332	0.303548	0.0441196	0.652333	0.07781804
34600	-291.0282	-275.5813	-15.44687	1.846854	0.2208	0.00498331	0.774217	0.007711688
34800	-295.4964	-270.5704	-24.92599	2.771485	0.152351	0.140804	0.706846	0.03061433
35000	-294.8183	-281.4366	-13.38162	1.559481	0.277035	0.00686684	0.716098	0.08630948
35200	-293.854	-275.4935	-18.36048	2.100886	0.199568	0.0347348	0.765697	0.04381024
35400	-294.3867	-276.9897	-17.397	2.016562	0.203473	0.0164861	0.780041	0.0317671
35600	-294.8035	-283.2226	-11.58086	1.443524	0.294767	0.0280243	0.677209	0.02385578
35800	-293.1325	-277.2735	-15.85896	1.770917	0.206127	0.000408513	0.793464	0.1208544
36000	-295.4772	-280.7497	-14.72743	1.638103	0.266603	0.00854975	0.724847	0.1409961
36200	-292.3189	-277.55	-14.7689	1.663845	0.216418	0.00285426	0.780728	0.1182361
36400	-294.3179	-274.5519	-19.76594	2.227818	0.150468	0.027343	0.822189	0.05705979
36600	-295.6718	-269.9575	-25.71437	2.852027	0.170593	0.069094	0.760313	0.02890636
36800	-295.2561	-273.6513	-21.60486	2.254184	0.195408	0.0358761	0.768716	0.2118519
37000	-292.8541	-278.2657	-14.5884	1.732551	0.260509	0.0151096	0.724382	0.03526962
37200	-293.5237	-274.9223	-18.60135	2.140824	0.198749	0.000971361	0.80028	0.02885276
37400	-293.2114	-279.69	-13.52139	1.647059	0.236005	0.0296743	0.73432	0.01453365
37600	-292.2278	-278.8349	-13.39292	1.642712	0.246452	0.0178042	0.735743	0.006476571
37800	-293.9088	-278.184	-15.72477	1.860175	0.273381	0.0127173	0.713902	0.02175201
38000	-295.5542	-277.449	-18.10515	2.006205	0.233119	0.0528854	0.713995	0.110797
38200	-294.6655	-280.502	-14.16349	1.666831	0.266495	0.00908295	0.724422	0.05679423
38400	-291.3579	-273.5181	-17.83986	2.09116	0.21165	0.00910224	0.779247	0.002841279
38600	-292.5871	-272.1073	-20.47988	2.309079	0.186835	0.0223292	0.790835	0.04766632
38800	-298.8307	-270.6284	-28.20233	2.93278	0.154528	0.00535123	0.840121	0.1948017
39000	-292.1146	-275.284	-16.83058	1.947829	0.207354	0.00296252	0.789683	0.044291
39200	-291.5475	-278.0905	-13.45703	1.654448	0.24366	0.00492044	0.751419	0.001320915
39400	-297.1118	-273.5279	-23.58387	2.569279	0.182938	0.0224326	0.794629	0.09772002
